sport_name,team_names,date,moneyline_odds,both_score_odds,double_chance_odds,handicap_odds,dnb_odds,total_odds
BASKET,Quesos Cerrato Palencia - CD Estela,2023-03-24 21:00:00,,"Quesos Cerrato Palencia - CD Estela Quesos Cerrato Palencia  1.09
26.00
Quesos Cerrato Palencia - CD Estela {'ID': 293953, 'name': 'CD Estela', 'betradarID': 554964, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 8.20",,,,
BASKET,Umfn Njardvik - Valur Reykjavik,2023-03-24 21:15:00,,"Umfn Njardvik - Valur Reykjavik Umfn Njardvik  1.51
14.00
Umfn Njardvik - Valur Reykjavik {'ID': 68815, 'name': 'Valur Reykjavik', 'betradarID': 382658, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 2.65",,,,
BASKET,Umfn Njardvik - Valur Reykjavik,2023-03-24 21:15:00,,"Umfn Njardvik - Valur Reykjavik Umfn Njardvik  1.51
14.00
Umfn Njardvik - Valur Reykjavik {'ID': 68815, 'name': 'Valur Reykjavik', 'betradarID': 382658, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 2.65",,,,
BASKET,Forca Lleida CE - BC River Andorra,2023-03-24 21:15:00,,"Forca Lleida CE - BC River Andorra Forca Lleida CE  3.50
16.00
Forca Lleida CE - BC River Andorra {'ID': 9962, 'name': 'BC River Andorra', 'betradarID': 124534, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.36",,,,
BASKET,Forca Lleida CE - BC River Andorra,2023-03-24 21:15:00,,"Forca Lleida CE - BC River Andorra Forca Lleida CE  3.50
16.00
Forca Lleida CE - BC River Andorra {'ID': 9962, 'name': 'BC River Andorra', 'betradarID': 124534, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.36",,,,
BASKET,Utah Utes (V) - LSU Tigers,2023-03-24 22:00:00,,"Utah Utes (V) - LSU Tigers Utah Utes (V)  2.80
15.00
Utah Utes (V) - LSU Tigers {'ID': 87626, 'name': 'LSU Tigers', 'betradarID': 322061, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.53",,,,
BASKET,Utah Utes (V) - LSU Tigers,2023-03-24 22:00:00,,"Utah Utes (V) - LSU Tigers Utah Utes (V)  2.80
15.00
Utah Utes (V) - LSU Tigers {'ID': 87626, 'name': 'LSU Tigers', 'betradarID': 322061, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.53",,,,
BASKET,Unifacisa - Bauru SP,2023-03-24 23:30:00,,"Unifacisa - Bauru SP Unifacisa  2.30
13.00
Unifacisa - Bauru SP {'ID': 19364, 'name': 'Bauru SP', 'betradarID': 129828, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.75",,,,
BASKET,Unifacisa - Bauru SP,2023-03-24 23:30:00,,"Unifacisa - Bauru SP Unifacisa  2.30
13.00
Unifacisa - Bauru SP {'ID': 19364, 'name': 'Bauru SP', 'betradarID': 129828, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.75",,,,
BASKET,Alabama Crimson Tide - San Diego State Aztecs,2023-03-24 23:30:00,,"Alabama Crimson Tide - San Diego State Aztecs Alabama Crimson Tide  1.35
14.00
Alabama Crimson Tide - San Diego State Aztecs {'ID': 46959, 'name': 'San Diego State Aztecs', 'betradarID': 41216, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 3.80",,,,
BASKET,Alabama Crimson Tide - San Diego State Aztecs,2023-03-24 23:30:00,,"Alabama Crimson Tide - San Diego State Aztecs Alabama Crimson Tide  1.35
14.00
Alabama Crimson Tide - San Diego State Aztecs {'ID': 46959, 'name': 'San Diego State Aztecs', 'betradarID': 41216, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 3.80",,,,
BOKS,"Moorcroft, James - Bennett, Nathan",2023-03-24 19:00:00,"Moorcroft, James - Bennett, Nathan Moorcroft, James  1.36
Moorcroft, James - Bennett, Nathan {'ID': 225954, 'name': 'Bennett, Nathan', 'betradarID': 728261, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 3.10",,,,,
BOKS,"Walker, Conah - Gardner, Kane",2023-03-24 19:00:00,"Walker, Conah - Gardner, Kane Walker, Conah  1.52
Walker, Conah - Gardner, Kane {'ID': 304967, 'name': 'Gardner, Kane', 'betradarID': 999771, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 2.50",,,,,
BOKS,"Zucco, Ivan - Brown, Germaine",2023-03-24 22:00:00,"Zucco, Ivan - Brown, Germaine Zucco, Ivan  1.69
Zucco, Ivan - Brown, Germaine {'ID': 274692, 'name': 'Brown, Germaine', 'betradarID': 877757, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 2.14",,,,,
BOKS,"Zucco, Ivan - Brown, Germaine",2023-03-24 22:00:00,"Zucco, Ivan - Brown, Germaine Zucco, Ivan  1.69
Zucco, Ivan - Brown, Germaine {'ID': 274692, 'name': 'Brown, Germaine', 'betradarID': 877757, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 2.14","Zucco, Ivan - Brown, Germaine Zucco, Ivan  1.68
17.00
Zucco, Ivan - Brown, Germaine {'ID': 274692, 'name': 'Brown, Germaine', 'betradarID': 877757, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 2.30",,,,
BOKS,"Lyndon, Arthur - Suarez, Braian Nahuel",2023-03-24 23:00:00,"Lyndon, Arthur - Suarez, Braian Nahuel Lyndon, Arthur  1.07
Lyndon, Arthur - Suarez, Braian Nahuel {'ID': 304965, 'name': 'Suarez, Braian Nahuel', 'betradarID': 684245, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 8.00",,,,,
BOKS,"Lyndon, Arthur - Suarez, Braian Nahuel",2023-03-24 23:00:00,"Lyndon, Arthur - Suarez, Braian Nahuel Lyndon, Arthur  1.07
Lyndon, Arthur - Suarez, Braian Nahuel {'ID': 304965, 'name': 'Suarez, Braian Nahuel', 'betradarID': 684245, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 8.00","Lyndon, Arthur - Suarez, Braian Nahuel Lyndon, Arthur  1.08
26.00
Lyndon, Arthur - Suarez, Braian Nahuel {'ID': 304965, 'name': 'Suarez, Braian Nahuel', 'betradarID': 684245, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 7.60",,,,
CURLING,Italië (V) - Noorwegen,2023-03-24 09:00:00,"Italië (V) - Noorwegen Italië (V)  1.73
Italië (V) - Noorwegen {'ID': 11218, 'name': 'Noorwegen', 'betradarID': 5716, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.99",,,,,
CURLING,Zwitserland (V) - Schotland (V),2023-03-24 09:00:00,"Zwitserland (V) - Schotland (V) Zwitserland (V)  1.12
Zwitserland (V) - Schotland (V) {'ID': 11214, 'name': 'Schotland (V)', 'betradarID': 32652, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 5.40",,,,,
CURLING,Turkey - Canada (V),2023-03-24 09:00:00,"Turkey - Canada (V) Turkey  5.80
Turkey - Canada (V) {'ID': 11991, 'name': 'Canada (V)', 'betradarID': 5710, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.10",,,,,
CURLING,Japan (V) - Duitsland (V),2023-03-24 09:00:00,"Japan (V) - Duitsland (V) Japan (V)  1.35
Japan (V) - Duitsland (V) {'ID': 11221, 'name': 'Duitsland (V)', 'betradarID': 5712, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 2.95",,,,,
CURLING,VS (V) - Zuid-Korea (V),2023-03-24 14:00:00,"VS (V) - Zuid-Korea (V) VS (V)  1.39
VS (V) - Zuid-Korea (V) {'ID': 11988, 'name': 'Zuid-Korea (V)', 'betradarID': 34483, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 2.75",,,,,
DARTS,"Burgoyne, Pete - Wood, Tony",2023-03-24 10:35:00,"Burgoyne, Pete - Wood, Tony Burgoyne, Pete  1.73
Burgoyne, Pete - Wood, Tony {'ID': 297810, 'name': 'Wood, Tony', 'betradarID': 967397, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 2.00",,,,,
DARTS,"Smith, Danny - Wawrzewski, David",2023-03-24 10:55:00,"Smith, Danny - Wawrzewski, David Smith, Danny  2.70
Smith, Danny - Wawrzewski, David {'ID': 256543, 'name': 'Wawrzewski, David', 'betradarID': 774988, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.41",,,,,
